Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	Un			RCWR01152448.1	Chromosome		NW_024595105.1	unplaced-scaffold	1850			scaffold05639
GCF_003704035.1	Primary Assembly	Un			RCWR01152449.1	Chromosome		NW_024595106.1	unplaced-scaffold	1906			scaffold05640
GCF_003704035.1	Primary Assembly	Un			RCWR01152450.1	Chromosome		NW_024595107.1	unplaced-scaffold	2028			scaffold05641
GCF_003704035.1	Primary Assembly	Un			RCWR01152451.1	Chromosome		NW_024595108.1	unplaced-scaffold	1904			scaffold05642
GCF_003704035.1	Primary Assembly	Un			RCWR01152452.1	Chromosome		NW_024595109.1	unplaced-scaffold	1904			scaffold05643
GCF_003704035.1	Primary Assembly	Un			RCWR01152453.1	Chromosome		NW_024595110.1	unplaced-scaffold	1851			scaffold05644
GCF_003704035.1	Primary Assembly	Un			RCWR01152454.1	Chromosome		NW_024595111.1	unplaced-scaffold	1845			scaffold05645
GCF_003704035.1	Primary Assembly	Un			RCWR01152455.1	Chromosome		NW_024595112.1	unplaced-scaffold	1904			scaffold05646
GCF_003704035.1	Primary Assembly	Un			RCWR01152456.1	Chromosome		NW_024595113.1	unplaced-scaffold	1904			scaffold05647
GCF_003704035.1	Primary Assembly	Un			RCWR01152457.1	Chromosome		NW_024595114.1	unplaced-scaffold	1903			scaffold05648
GCF_003704035.1	Primary Assembly	Un			RCWR01152458.1	Chromosome		NW_024595115.1	unplaced-scaffold	1903			scaffold05649
GCF_003704035.1	Primary Assembly	Un			RCWR01152459.1	Chromosome		NW_024595116.1	unplaced-scaffold	1899			scaffold05650
GCF_003704035.1	Primary Assembly	Un			RCWR01152460.1	Chromosome		NW_024595117.1	unplaced-scaffold	1903			scaffold05651
GCF_003704035.1	Primary Assembly	Un			RCWR01152461.1	Chromosome		NW_024595118.1	unplaced-scaffold	1902			scaffold05652
GCF_003704035.1	Primary Assembly	Un			RCWR01152462.1	Chromosome		NW_024595119.1	unplaced-scaffold	1889			scaffold05653
GCF_003704035.1	Primary Assembly	Un			RCWR01152463.1	Chromosome		NW_024595120.1	unplaced-scaffold	1878			scaffold05654
GCF_003704035.1	Primary Assembly	Un			RCWR01152464.1	Chromosome		NW_024595121.1	unplaced-scaffold	1858			scaffold05655
GCF_003704035.1	Primary Assembly	Un			RCWR01152465.1	Chromosome		NW_024595122.1	unplaced-scaffold	1900			scaffold05656
GCF_003704035.1	Primary Assembly	Un			RCWR01152466.1	Chromosome		NW_024595123.1	unplaced-scaffold	1899			scaffold05657
GCF_003704035.1	Primary Assembly	Un			RCWR01152467.1	Chromosome		NW_024595124.1	unplaced-scaffold	1899			scaffold05658
GCF_003704035.1	Primary Assembly	Un			RCWR01152468.1	Chromosome		NW_024595125.1	unplaced-scaffold	1838			scaffold05659
GCF_003704035.1	Primary Assembly	Un			RCWR01152469.1	Chromosome		NW_024595126.1	unplaced-scaffold	1898			scaffold05660
GCF_003704035.1	Primary Assembly	Un			RCWR01152470.1	Chromosome		NW_024595127.1	unplaced-scaffold	1896			scaffold05661
GCF_003704035.1	Primary Assembly	Un			RCWR01152471.1	Chromosome		NW_024595128.1	unplaced-scaffold	1896			scaffold05662
GCF_003704035.1	Primary Assembly	Un			RCWR01152473.1	Chromosome		NW_024595129.1	unplaced-scaffold	1845			scaffold05664
GCF_003704035.1	Primary Assembly	Un			RCWR01152474.1	Chromosome		NW_024595130.1	unplaced-scaffold	1880			scaffold05665
GCF_003704035.1	Primary Assembly	Un			RCWR01152475.1	Chromosome		NW_024595131.1	unplaced-scaffold	1840			scaffold05666
GCF_003704035.1	Primary Assembly	Un			RCWR01152476.1	Chromosome		NW_024595132.1	unplaced-scaffold	1894			scaffold05667
GCF_003704035.1	Primary Assembly	Un			RCWR01152477.1	Chromosome		NW_024595133.1	unplaced-scaffold	1854			scaffold05668
GCF_003704035.1	Primary Assembly	Un			RCWR01152478.1	Chromosome		NW_024595134.1	unplaced-scaffold	1787			scaffold05669
GCF_003704035.1	Primary Assembly	Un			RCWR01152479.1	Chromosome		NW_024595135.1	unplaced-scaffold	1869			scaffold05670
GCF_003704035.1	Primary Assembly	Un			RCWR01152480.1	Chromosome		NW_024595136.1	unplaced-scaffold	1817			scaffold05671
GCF_003704035.1	Primary Assembly	Un			RCWR01152481.1	Chromosome		NW_024595137.1	unplaced-scaffold	1886			scaffold05672
GCF_003704035.1	Primary Assembly	Un			RCWR01152482.1	Chromosome		NW_024595138.1	unplaced-scaffold	1839			scaffold05673
GCF_003704035.1	Primary Assembly	Un			RCWR01152483.1	Chromosome		NW_024595139.1	unplaced-scaffold	1885			scaffold05674
GCF_003704035.1	Primary Assembly	Un			RCWR01152484.1	Chromosome		NW_024595140.1	unplaced-scaffold	1883			scaffold05675
GCF_003704035.1	Primary Assembly	Un			RCWR01152485.1	Chromosome		NW_024595141.1	unplaced-scaffold	1883			scaffold05676
GCF_003704035.1	Primary Assembly	Un			RCWR01152486.1	Chromosome		NW_024595142.1	unplaced-scaffold	1876			scaffold05677
GCF_003704035.1	Primary Assembly	Un			RCWR01152487.1	Chromosome		NW_024595143.1	unplaced-scaffold	1881			scaffold05678
GCF_003704035.1	Primary Assembly	Un			RCWR01152488.1	Chromosome		NW_024595144.1	unplaced-scaffold	1880			scaffold05679
GCF_003704035.1	Primary Assembly	Un			RCWR01152489.1	Chromosome		NW_024595145.1	unplaced-scaffold	1880			scaffold05680
GCF_003704035.1	Primary Assembly	Un			RCWR01152490.1	Chromosome		NW_024595146.1	unplaced-scaffold	1878			scaffold05681
GCF_003704035.1	Primary Assembly	Un			RCWR01152491.1	Chromosome		NW_024595147.1	unplaced-scaffold	1877			scaffold05682
GCF_003704035.1	Primary Assembly	Un			RCWR01152492.1	Chromosome		NW_024595148.1	unplaced-scaffold	1877			scaffold05683
GCF_003704035.1	Primary Assembly	Un			RCWR01152493.1	Chromosome		NW_024595149.1	unplaced-scaffold	1876			scaffold05684
GCF_003704035.1	Primary Assembly	Un			RCWR01152494.1	Chromosome		NW_024595150.1	unplaced-scaffold	1875			scaffold05685
GCF_003704035.1	Primary Assembly	Un			RCWR01152495.1	Chromosome		NW_024595151.1	unplaced-scaffold	1874			scaffold05686
GCF_003704035.1	Primary Assembly	Un			RCWR01152496.1	Chromosome		NW_024595152.1	unplaced-scaffold	1871			scaffold05687
GCF_003704035.1	Primary Assembly	Un			RCWR01152497.1	Chromosome		NW_024595153.1	unplaced-scaffold	1873			scaffold05688
GCF_003704035.1	Primary Assembly	Un			RCWR01152498.1	Chromosome		NW_024595154.1	unplaced-scaffold	1872			scaffold05689
GCF_003704035.1	Primary Assembly	Un			RCWR01152499.1	Chromosome		NW_024595155.1	unplaced-scaffold	1778			scaffold05690
GCF_003704035.1	Primary Assembly	Un			RCWR01152500.1	Chromosome		NW_024595156.1	unplaced-scaffold	1870			scaffold05691
GCF_003704035.1	Primary Assembly	Un			RCWR01152501.1	Chromosome		NW_024595157.1	unplaced-scaffold	1870			scaffold05692
GCF_003704035.1	Primary Assembly	Un			RCWR01152502.1	Chromosome		NW_024595158.1	unplaced-scaffold	1827			scaffold05693
GCF_003704035.1	Primary Assembly	Un			RCWR01152503.1	Chromosome		NW_024595159.1	unplaced-scaffold	1867			scaffold05694
GCF_003704035.1	Primary Assembly	Un			RCWR01152504.1	Chromosome		NW_024595160.1	unplaced-scaffold	1835			scaffold05695
GCF_003704035.1	Primary Assembly	Un			RCWR01152505.1	Chromosome		NW_024595161.1	unplaced-scaffold	1863			scaffold05696
GCF_003704035.1	Primary Assembly	Un			RCWR01152506.1	Chromosome		NW_024595162.1	unplaced-scaffold	1754			scaffold05697
GCF_003704035.1	Primary Assembly	Un			RCWR01152507.1	Chromosome		NW_024595163.1	unplaced-scaffold	1828			scaffold05698
GCF_003704035.1	Primary Assembly	Un			RCWR01152508.1	Chromosome		NW_024595164.1	unplaced-scaffold	1860			scaffold05699
GCF_003704035.1	Primary Assembly	Un			RCWR01152509.1	Chromosome		NW_024595165.1	unplaced-scaffold	1858			scaffold05700
GCF_003704035.1	Primary Assembly	Un			RCWR01152510.1	Chromosome		NW_024595166.1	unplaced-scaffold	1859			scaffold05701
GCF_003704035.1	Primary Assembly	Un			RCWR01152511.1	Chromosome		NW_024595167.1	unplaced-scaffold	1798			scaffold05702
GCF_003704035.1	Primary Assembly	Un			RCWR01152512.1	Chromosome		NW_024595168.1	unplaced-scaffold	1810			scaffold05703
GCF_003704035.1	Primary Assembly	Un			RCWR01152513.1	Chromosome		NW_024595169.1	unplaced-scaffold	1854			scaffold05704
GCF_003704035.1	Primary Assembly	Un			RCWR01152514.1	Chromosome		NW_024595170.1	unplaced-scaffold	1689			scaffold05705
GCF_003704035.1	Primary Assembly	Un			RCWR01152515.1	Chromosome		NW_024595171.1	unplaced-scaffold	1854			scaffold05706
GCF_003704035.1	Primary Assembly	Un			RCWR01152516.1	Chromosome		NW_024595172.1	unplaced-scaffold	1705			scaffold05707
GCF_003704035.1	Primary Assembly	Un			RCWR01152519.1	Chromosome		NW_024595174.1	unplaced-scaffold	1799			scaffold05709
GCF_003704035.1	Primary Assembly	Un			RCWR01152520.1	Chromosome		NW_024595175.1	unplaced-scaffold	1791			scaffold05710
GCF_003704035.1	Primary Assembly	Un			RCWR01152521.1	Chromosome		NW_024595176.1	unplaced-scaffold	1792			scaffold05711
GCF_003704035.1	Primary Assembly	Un			RCWR01152522.1	Chromosome		NW_024595177.1	unplaced-scaffold	1809			scaffold05712
GCF_003704035.1	Primary Assembly	Un			RCWR01152523.1	Chromosome		NW_024595178.1	unplaced-scaffold	1850			scaffold05713
GCF_003704035.1	Primary Assembly	Un			RCWR01152524.1	Chromosome		NW_024595179.1	unplaced-scaffold	1850			scaffold05714
GCF_003704035.1	Primary Assembly	Un			RCWR01152525.1	Chromosome		NW_024595180.1	unplaced-scaffold	1800			scaffold05715
GCF_003704035.1	Primary Assembly	Un			RCWR01152526.1	Chromosome		NW_024595181.1	unplaced-scaffold	1833			scaffold05716
GCF_003704035.1	Primary Assembly	Un			RCWR01152527.1	Chromosome		NW_024595182.1	unplaced-scaffold	1849			scaffold05717
GCF_003704035.1	Primary Assembly	Un			RCWR01152528.1	Chromosome		NW_024595183.1	unplaced-scaffold	1849			scaffold05718
GCF_003704035.1	Primary Assembly	Un			RCWR01152529.1	Chromosome		NW_024595184.1	unplaced-scaffold	1848			scaffold05719
GCF_003704035.1	Primary Assembly	Un			RCWR01152530.1	Chromosome		NW_024595185.1	unplaced-scaffold	1807			scaffold05720
GCF_003704035.1	Primary Assembly	Un			RCWR01152531.1	Chromosome		NW_024595186.1	unplaced-scaffold	1785			scaffold05721
GCF_003704035.1	Primary Assembly	Un			RCWR01152532.1	Chromosome		NW_024595187.1	unplaced-scaffold	1847			scaffold05722
GCF_003704035.1	Primary Assembly	Un			RCWR01152533.1	Chromosome		NW_024595188.1	unplaced-scaffold	1845			scaffold05723
GCF_003704035.1	Primary Assembly	Un			RCWR01152534.1	Chromosome		NW_024595189.1	unplaced-scaffold	1826			scaffold05724
GCF_003704035.1	Primary Assembly	Un			RCWR01152535.1	Chromosome		NW_024595190.1	unplaced-scaffold	1843			scaffold05725
GCF_003704035.1	Primary Assembly	Un			RCWR01152536.1	Chromosome		NW_024595191.1	unplaced-scaffold	1824			scaffold05726
GCF_003704035.1	Primary Assembly	Un			RCWR01152537.1	Chromosome		NW_024595192.1	unplaced-scaffold	1841			scaffold05727
GCF_003704035.1	Primary Assembly	Un			RCWR01152538.1	Chromosome		NW_024595193.1	unplaced-scaffold	1839			scaffold05728
GCF_003704035.1	Primary Assembly	Un			RCWR01152539.1	Chromosome		NW_024595194.1	unplaced-scaffold	1836			scaffold05729
GCF_003704035.1	Primary Assembly	Un			RCWR01152540.1	Chromosome		NW_024595195.1	unplaced-scaffold	1839			scaffold05730
GCF_003704035.1	Primary Assembly	Un			RCWR01152541.1	Chromosome		NW_024595196.1	unplaced-scaffold	1718			scaffold05731
GCF_003704035.1	Primary Assembly	Un			RCWR01152542.1	Chromosome		NW_024595197.1	unplaced-scaffold	1827			scaffold05732
GCF_003704035.1	Primary Assembly	Un			RCWR01152543.1	Chromosome		NW_024595198.1	unplaced-scaffold	1835			scaffold05733
GCF_003704035.1	Primary Assembly	Un			RCWR01152545.1	Chromosome		NW_024595199.1	unplaced-scaffold	1729			scaffold05735
GCF_003704035.1	Primary Assembly	Un			RCWR01152546.1	Chromosome		NW_024595200.1	unplaced-scaffold	1833			scaffold05736
GCF_003704035.1	Primary Assembly	Un			RCWR01152547.1	Chromosome		NW_024595201.1	unplaced-scaffold	1801			scaffold05737
GCF_003704035.1	Primary Assembly	Un			RCWR01152548.1	Chromosome		NW_024595202.1	unplaced-scaffold	1786			scaffold05738
GCF_003704035.1	Primary Assembly	Un			RCWR01152549.1	Chromosome		NW_024595203.1	unplaced-scaffold	1832			scaffold05739
GCF_003704035.1	Primary Assembly	Un			RCWR01152550.1	Chromosome		NW_024595204.1	unplaced-scaffold	1832			scaffold05740
GCF_003704035.1	Primary Assembly	Un			RCWR01152551.1	Chromosome		NW_024595205.1	unplaced-scaffold	1832			scaffold05741
GCF_003704035.1	Primary Assembly	Un			RCWR01152552.1	Chromosome		NW_024595206.1	unplaced-scaffold	1787			scaffold05742
GCF_003704035.1	Primary Assembly	Un			RCWR01152553.1	Chromosome		NW_024595207.1	unplaced-scaffold	1798			scaffold05743
GCF_003704035.1	Primary Assembly	Un			RCWR01152554.1	Chromosome		NW_024595208.1	unplaced-scaffold	1827			scaffold05744
GCF_003704035.1	Primary Assembly	Un			RCWR01152555.1	Chromosome		NW_024595209.1	unplaced-scaffold	1826			scaffold05745
GCF_003704035.1	Primary Assembly	Un			RCWR01152556.1	Chromosome		NW_024595210.1	unplaced-scaffold	1826			scaffold05746
GCF_003704035.1	Primary Assembly	Un			RCWR01152557.1	Chromosome		NW_024595211.1	unplaced-scaffold	1826			scaffold05747
GCF_003704035.1	Primary Assembly	Un			RCWR01152558.1	Chromosome		NW_024595212.1	unplaced-scaffold	1732			scaffold05748
GCF_003704035.1	Primary Assembly	Un			RCWR01152559.1	Chromosome		NW_024595213.1	unplaced-scaffold	1823			scaffold05749
GCF_003704035.1	Primary Assembly	Un			RCWR01152560.1	Chromosome		NW_024595214.1	unplaced-scaffold	1822			scaffold05750
GCF_003704035.1	Primary Assembly	Un			RCWR01152565.1	Chromosome		NW_024595217.1	unplaced-scaffold	1818			scaffold05753
GCF_003704035.1	Primary Assembly	Un			RCWR01152566.1	Chromosome		NW_024595218.1	unplaced-scaffold	1818			scaffold05754
GCF_003704035.1	Primary Assembly	Un			RCWR01152567.1	Chromosome		NW_024595219.1	unplaced-scaffold	1818			scaffold05755
GCF_003704035.1	Primary Assembly	Un			RCWR01152568.1	Chromosome		NW_024595220.1	unplaced-scaffold	1817			scaffold05756
GCF_003704035.1	Primary Assembly	Un			RCWR01152569.1	Chromosome		NW_024595221.1	unplaced-scaffold	1799			scaffold05757
GCF_003704035.1	Primary Assembly	Un			RCWR01152570.1	Chromosome		NW_024595222.1	unplaced-scaffold	1806			scaffold05758
GCF_003704035.1	Primary Assembly	Un			RCWR01152571.1	Chromosome		NW_024595223.1	unplaced-scaffold	1789			scaffold05759
GCF_003704035.1	Primary Assembly	Un			RCWR01152572.1	Chromosome		NW_024595224.1	unplaced-scaffold	1816			scaffold05760
GCF_003704035.1	Primary Assembly	Un			RCWR01152573.1	Chromosome		NW_024595225.1	unplaced-scaffold	1816			scaffold05761
GCF_003704035.1	Primary Assembly	Un			RCWR01152574.1	Chromosome		NW_024595226.1	unplaced-scaffold	1815			scaffold05762
GCF_003704035.1	Primary Assembly	Un			RCWR01152575.1	Chromosome		NW_024595227.1	unplaced-scaffold	1779			scaffold05763
GCF_003704035.1	Primary Assembly	Un			RCWR01152576.1	Chromosome		NW_024595228.1	unplaced-scaffold	1696			scaffold05764
GCF_003704035.1	Primary Assembly	Un			RCWR01152577.1	Chromosome		NW_024595229.1	unplaced-scaffold	1814			scaffold05765
GCF_003704035.1	Primary Assembly	Un			RCWR01152578.1	Chromosome		NW_024595230.1	unplaced-scaffold	1814			scaffold05766
GCF_003704035.1	Primary Assembly	Un			RCWR01152579.1	Chromosome		NW_024595231.1	unplaced-scaffold	1814			scaffold05767
GCF_003704035.1	Primary Assembly	Un			RCWR01152580.1	Chromosome		NW_024595232.1	unplaced-scaffold	1809			scaffold05768
GCF_003704035.1	Primary Assembly	Un			RCWR01152581.1	Chromosome		NW_024595233.1	unplaced-scaffold	1812			scaffold05769
GCF_003704035.1	Primary Assembly	Un			RCWR01152582.1	Chromosome		NW_024595234.1	unplaced-scaffold	1776			scaffold05770
GCF_003704035.1	Primary Assembly	Un			RCWR01152583.1	Chromosome		NW_024595235.1	unplaced-scaffold	1811			scaffold05771
GCF_003704035.1	Primary Assembly	Un			RCWR01152584.1	Chromosome		NW_024595236.1	unplaced-scaffold	1807			scaffold05772
GCF_003704035.1	Primary Assembly	Un			RCWR01152585.1	Chromosome		NW_024595237.1	unplaced-scaffold	1808			scaffold05773
GCF_003704035.1	Primary Assembly	Un			RCWR01152586.1	Chromosome		NW_024595238.1	unplaced-scaffold	1807			scaffold05774
GCF_003704035.1	Primary Assembly	Un			RCWR01152587.1	Chromosome		NW_024595239.1	unplaced-scaffold	1791			scaffold05775
GCF_003704035.1	Primary Assembly	Un			RCWR01152588.1	Chromosome		NW_024595240.1	unplaced-scaffold	1807			scaffold05776
GCF_003704035.1	Primary Assembly	Un			RCWR01152589.1	Chromosome		NW_024595241.1	unplaced-scaffold	1777			scaffold05777
GCF_003704035.1	Primary Assembly	Un			RCWR01152590.1	Chromosome		NW_024595242.1	unplaced-scaffold	1806			scaffold05778
GCF_003704035.1	Primary Assembly	Un			RCWR01152591.1	Chromosome		NW_024595243.1	unplaced-scaffold	1805			scaffold05779
GCF_003704035.1	Primary Assembly	Un			RCWR01152592.1	Chromosome		NW_024595244.1	unplaced-scaffold	1805			scaffold05780
GCF_003704035.1	Primary Assembly	Un			RCWR01152593.1	Chromosome		NW_024595245.1	unplaced-scaffold	1804			scaffold05781
GCF_003704035.1	Primary Assembly	Un			RCWR01152594.1	Chromosome		NW_024595246.1	unplaced-scaffold	1772			scaffold05782
GCF_003704035.1	Primary Assembly	Un			RCWR01152595.1	Chromosome		NW_024595247.1	unplaced-scaffold	1803			scaffold05783
GCF_003704035.1	Primary Assembly	Un			RCWR01152596.1	Chromosome		NW_024595248.1	unplaced-scaffold	1801			scaffold05784
GCF_003704035.1	Primary Assembly	Un			RCWR01152597.1	Chromosome		NW_024595249.1	unplaced-scaffold	1801			scaffold05785
GCF_003704035.1	Primary Assembly	Un			RCWR01152598.1	Chromosome		NW_024595250.1	unplaced-scaffold	1801			scaffold05786
GCF_003704035.1	Primary Assembly	Un			RCWR01152599.1	Chromosome		NW_024595251.1	unplaced-scaffold	1800			scaffold05787
GCF_003704035.1	Primary Assembly	Un			RCWR01152600.1	Chromosome		NW_024595252.1	unplaced-scaffold	1798			scaffold05788
GCF_003704035.1	Primary Assembly	Un			RCWR01152601.1	Chromosome		NW_024595253.1	unplaced-scaffold	1798			scaffold05789
GCF_003704035.1	Primary Assembly	Un			RCWR01152602.1	Chromosome		NW_024595254.1	unplaced-scaffold	1793			scaffold05790
GCF_003704035.1	Primary Assembly	Un			RCWR01152603.1	Chromosome		NW_024595255.1	unplaced-scaffold	1716			scaffold05791
GCF_003704035.1	Primary Assembly	Un			RCWR01152604.1	Chromosome		NW_024595256.1	unplaced-scaffold	1796			scaffold05792
GCF_003704035.1	Primary Assembly	Un			RCWR01152605.1	Chromosome		NW_024595257.1	unplaced-scaffold	1796			scaffold05793
GCF_003704035.1	Primary Assembly	Un			RCWR01152606.1	Chromosome		NW_024595258.1	unplaced-scaffold	1795			scaffold05794
GCF_003704035.1	Primary Assembly	Un			RCWR01152607.1	Chromosome		NW_024595259.1	unplaced-scaffold	1734			scaffold05795
GCF_003704035.1	Primary Assembly	Un			RCWR01152608.1	Chromosome		NW_024595260.1	unplaced-scaffold	1794			scaffold05796
GCF_003704035.1	Primary Assembly	Un			RCWR01152609.1	Chromosome		NW_024595261.1	unplaced-scaffold	1793			scaffold05797
GCF_003704035.1	Primary Assembly	Un			RCWR01152610.1	Chromosome		NW_024595262.1	unplaced-scaffold	1795			scaffold05798
GCF_003704035.1	Primary Assembly	Un			RCWR01152611.1	Chromosome		NW_024595263.1	unplaced-scaffold	1754			scaffold05799
GCF_003704035.1	Primary Assembly	Un			RCWR01152612.1	Chromosome		NW_024595264.1	unplaced-scaffold	1791			scaffold05800
GCF_003704035.1	Primary Assembly	Un			RCWR01152613.1	Chromosome		NW_024595265.1	unplaced-scaffold	1790			scaffold05801
GCF_003704035.1	Primary Assembly	Un			RCWR01152614.1	Chromosome		NW_024595266.1	unplaced-scaffold	1782			scaffold05802
GCF_003704035.1	Primary Assembly	Un			RCWR01152615.1	Chromosome		NW_024595267.1	unplaced-scaffold	1790			scaffold05803
GCF_003704035.1	Primary Assembly	Un			RCWR01152616.1	Chromosome		NW_024595268.1	unplaced-scaffold	1736			scaffold05804
GCF_003704035.1	Primary Assembly	Un			RCWR01152617.1	Chromosome		NW_024595269.1	unplaced-scaffold	1788			scaffold05805
GCF_003704035.1	Primary Assembly	Un			RCWR01152618.1	Chromosome		NW_024595270.1	unplaced-scaffold	1686			scaffold05806
GCF_003704035.1	Primary Assembly	Un			RCWR01152619.1	Chromosome		NW_024595271.1	unplaced-scaffold	1787			scaffold05807
GCF_003704035.1	Primary Assembly	Un			RCWR01152620.1	Chromosome		NW_024595272.1	unplaced-scaffold	1764			scaffold05808
GCF_003704035.1	Primary Assembly	Un			RCWR01152621.1	Chromosome		NW_024595273.1	unplaced-scaffold	1786			scaffold05809
GCF_003704035.1	Primary Assembly	Un			RCWR01152622.1	Chromosome		NW_024595274.1	unplaced-scaffold	1786			scaffold05810
GCF_003704035.1	Primary Assembly	Un			RCWR01152623.1	Chromosome		NW_024595275.1	unplaced-scaffold	1691			scaffold05811
GCF_003704035.1	Primary Assembly	Un			RCWR01152624.1	Chromosome		NW_024595276.1	unplaced-scaffold	1765			scaffold05812
GCF_003704035.1	Primary Assembly	Un			RCWR01152625.1	Chromosome		NW_024595277.1	unplaced-scaffold	1739			scaffold05813
GCF_003704035.1	Primary Assembly	Un			RCWR01152626.1	Chromosome		NW_024595278.1	unplaced-scaffold	1783			scaffold05814
GCF_003704035.1	Primary Assembly	Un			RCWR01152627.1	Chromosome		NW_024595279.1	unplaced-scaffold	1782			scaffold05815
GCF_003704035.1	Primary Assembly	Un			RCWR01152628.1	Chromosome		NW_024595280.1	unplaced-scaffold	1721			scaffold05816
GCF_003704035.1	Primary Assembly	Un			RCWR01152630.1	Chromosome		NW_024595281.1	unplaced-scaffold	1727			scaffold05818
GCF_003704035.1	Primary Assembly	Un			RCWR01152631.1	Chromosome		NW_024595282.1	unplaced-scaffold	1779			scaffold05819
GCF_003704035.1	Primary Assembly	Un			RCWR01152632.1	Chromosome		NW_024595283.1	unplaced-scaffold	1747			scaffold05820
GCF_003704035.1	Primary Assembly	Un			RCWR01152633.1	Chromosome		NW_024595284.1	unplaced-scaffold	1722			scaffold05821
GCF_003704035.1	Primary Assembly	Un			RCWR01152634.1	Chromosome		NW_024595285.1	unplaced-scaffold	1777			scaffold05822
GCF_003704035.1	Primary Assembly	Un			RCWR01152635.1	Chromosome		NW_024595286.1	unplaced-scaffold	1776			scaffold05823
GCF_003704035.1	Primary Assembly	Un			RCWR01152636.1	Chromosome		NW_024595287.1	unplaced-scaffold	1768			scaffold05824
GCF_003704035.1	Primary Assembly	Un			RCWR01152637.1	Chromosome		NW_024595288.1	unplaced-scaffold	1775			scaffold05825
GCF_003704035.1	Primary Assembly	Un			RCWR01152638.1	Chromosome		NW_024595289.1	unplaced-scaffold	1725			scaffold05826
GCF_003704035.1	Primary Assembly	Un			RCWR01152639.1	Chromosome		NW_024595290.1	unplaced-scaffold	1719			scaffold05827
GCF_003704035.1	Primary Assembly	Un			RCWR01152640.1	Chromosome		NW_024595291.1	unplaced-scaffold	1756			scaffold05828
GCF_003704035.1	Primary Assembly	Un			RCWR01152641.1	Chromosome		NW_024595292.1	unplaced-scaffold	1773			scaffold05829
GCF_003704035.1	Primary Assembly	Un			RCWR01152644.1	Chromosome		NW_024595294.1	unplaced-scaffold	1771			scaffold05831
GCF_003704035.1	Primary Assembly	Un			RCWR01152645.1	Chromosome		NW_024595295.1	unplaced-scaffold	1771			scaffold05832
GCF_003704035.1	Primary Assembly	Un			RCWR01152646.1	Chromosome		NW_024595296.1	unplaced-scaffold	1761			scaffold05833
GCF_003704035.1	Primary Assembly	Un			RCWR01152647.1	Chromosome		NW_024595297.1	unplaced-scaffold	1718			scaffold05834
GCF_003704035.1	Primary Assembly	Un			RCWR01152648.1	Chromosome		NW_024595298.1	unplaced-scaffold	1708			scaffold05835
GCF_003704035.1	Primary Assembly	Un			RCWR01152649.1	Chromosome		NW_024595299.1	unplaced-scaffold	1713			scaffold05836
GCF_003704035.1	Primary Assembly	Un			RCWR01152650.1	Chromosome		NW_024595300.1	unplaced-scaffold	1886			scaffold05837
GCF_003704035.1	Primary Assembly	Un			RCWR01152651.1	Chromosome		NW_024595301.1	unplaced-scaffold	1766			scaffold05838
GCF_003704035.1	Primary Assembly	Un			RCWR01152652.1	Chromosome		NW_024595302.1	unplaced-scaffold	1732			scaffold05839
GCF_003704035.1	Primary Assembly	Un			RCWR01152653.1	Chromosome		NW_024595303.1	unplaced-scaffold	1775			scaffold05840
GCF_003704035.1	Primary Assembly	Un			RCWR01152654.1	Chromosome		NW_024595304.1	unplaced-scaffold	1696			scaffold05841
GCF_003704035.1	Primary Assembly	Un			RCWR01152655.1	Chromosome		NW_024595305.1	unplaced-scaffold	1746			scaffold05842
GCF_003704035.1	Primary Assembly	Un			RCWR01152656.1	Chromosome		NW_024595306.1	unplaced-scaffold	1702			scaffold05843
GCF_003704035.1	Primary Assembly	Un			RCWR01152657.1	Chromosome		NW_024595307.1	unplaced-scaffold	1763			scaffold05844
GCF_003704035.1	Primary Assembly	Un			RCWR01152658.1	Chromosome		NW_024595308.1	unplaced-scaffold	1765			scaffold05845
GCF_003704035.1	Primary Assembly	Un			RCWR01152659.1	Chromosome		NW_024595309.1	unplaced-scaffold	1723			scaffold05846
GCF_003704035.1	Primary Assembly	Un			RCWR01152660.1	Chromosome		NW_024595310.1	unplaced-scaffold	1762			scaffold05847
GCF_003704035.1	Primary Assembly	Un			RCWR01152661.1	Chromosome		NW_024595311.1	unplaced-scaffold	1706			scaffold05848
GCF_003704035.1	Primary Assembly	Un			RCWR01152662.1	Chromosome		NW_024595312.1	unplaced-scaffold	1760			scaffold05849
GCF_003704035.1	Primary Assembly	Un			RCWR01152663.1	Chromosome		NW_024595313.1	unplaced-scaffold	1883			scaffold05850
GCF_003704035.1	Primary Assembly	Un			RCWR01152664.1	Chromosome		NW_024595314.1	unplaced-scaffold	1758			scaffold05851
GCF_003704035.1	Primary Assembly	Un			RCWR01152665.1	Chromosome		NW_024595315.1	unplaced-scaffold	1916			scaffold05852
GCF_003704035.1	Primary Assembly	Un			RCWR01152666.1	Chromosome		NW_024595316.1	unplaced-scaffold	1725			scaffold05853
GCF_003704035.1	Primary Assembly	Un			RCWR01152667.1	Chromosome		NW_024595317.1	unplaced-scaffold	1718			scaffold05854
GCF_003704035.1	Primary Assembly	Un			RCWR01152668.1	Chromosome		NW_024595318.1	unplaced-scaffold	1757			scaffold05855
